ID,Budget,OriginLang,Popularity,ReleaseDate,Runtime,CatRuntime,IsEnOriginalLang,HasWebPage,HasPoster,HasTagline,ReleaseYear,ReleaseMonth,ReleaseDay,IsReleasedAfterJuly,NumOfCountriesReleased,IsLangUS,IsLangFR,IsLangRU,IsLangES,IsLangJA,NumOfKeywords,IsActor0Female,IsActor1Female,IsActor2Female,Actor0PrevRevenue,Actor1PrevRevenue,Actor2PrevRevenue,NumOfMoviesByDirector,NumOfMoviesByProducer,Genre,NumOfWorkersArt,NumOfWorkersCamera,NumOfWorkersCrew,NumOfWorkersMkup,NumOfWorkersDirecting,NumOfWorkersEditing,NumOfWorkersLiting,NumOfWorkersWriting,NumOfWorkersProd,NumOfWorkersSound,NumOfWorkersVisualEffects,Revenue
11,1000000,en,14.774066,1976-11-21,119,Large,1,0,1,1,1976,11,21,0,1,1,0,0,0,0,16,0,1,0,NULL,245066411,NULL,0,1,Drama,3,3,5,1,4,4,1,1,6,3,0,117235147
12,0,en,10.54375,1987-07-10,98,Medium,1,0,1,1,1987,7,10,0,1,1,0,0,0,0,6,0,0,0,14717854,NULL,9697739,0,4,Comedy,0,0,0,0,1,0,0,1,0,0,0,22642033
13,15000000,en,20.726578,1999-09-15,122,Large,1,1,1,1,1999,9,15,1,1,1,0,0,0,0,21,0,1,1,189859560,116672912,178051587,0,2,Drama,11,7,23,11,5,8,3,3,11,19,8,356296601
14,53000000,en,13.314232999999998,2005-03-04,118,Medium,1,0,1,1,2005,3,4,0,1,1,0,1,0,0,8,0,1,0,296000000,238207122,170268750,3,4,Comedy,4,1,0,0,1,2,0,2,7,1,0,95226116
15,102000000,en,20.666063,2002-06-20,145,Large,1,0,1,1,2002,6,20,0,1,1,0,0,0,0,9,0,0,1,356830601,32287044,NULL,5,7,Action,19,15,36,14,4,6,7,4,21,17,13,358372926
16,500000,sr,1.018477,2010-10-06,97,Medium,0,1,1,1,2010,10,6,1,1,0,0,0,0,0,2,0,0,0,NULL,NULL,NULL,0,1,Drama,1,3,5,3,1,2,0,4,2,4,0,198
17,26000000,en,6.336926999999999,2005-08-04,85,Short,1,0,1,1,2005,8,4,1,1,1,0,1,0,0,4,1,0,0,285176741,374218673,407711549,6,3,Horror,4,1,1,14,2,3,0,1,8,1,0,57891803
18,0,en,4.1835580000000006,2013-12-25,111,Medium,1,0,1,1,2013,12,25,1,1,1,0,0,0,0,2,0,1,1,301000000,13204291,31466789,1,4,Drama,7,1,2,3,1,1,0,2,5,6,3,1234254
19,8000000,en,6.496258999999999,2011-02-02,96,Medium,1,0,1,1,2011,2,2,0,3,1,0,0,0,0,7,1,0,1,13204291,4100000,155545279,1,4,Comedy,0,0,0,0,1,0,0,1,0,0,0,1749457
20,32000000,en,11.359658999999999,2005-08-02,87,Short,1,0,1,1,2005,8,2,1,1,1,1,0,0,0,5,0,1,1,217764291,NULL,NULL,1,7,Action,0,2,0,0,2,2,0,4,6,1,0,85167639
21,80000000,en,12.000579,1998-04-03,130,Large,1,0,1,1,1998,4,3,0,1,1,0,0,0,0,3,0,0,0,315156409,27200316,NULL,1,4,Adventure,13,7,25,9,5,4,4,3,23,16,11,136159423
22,4000000,en,7.99229,1982-08-13,95,Medium,1,0,1,1,1982,8,13,1,1,1,0,0,0,0,9,1,0,0,NULL,NULL,NULL,1,2,Horror,0,1,0,0,1,1,0,5,1,1,1,36690067
23,0,en,7.820786999999999,2012-07-28,116,Medium,1,1,1,1,2012,7,28,0,1,1,0,0,0,0,13,0,0,0,14347000,14347000,NULL,0,3,Horror,0,0,0,0,10,0,0,6,3,0,0,100345
24,0,en,1.323333,2011-09-02,92,Short,1,1,1,1,2011,9,2,1,1,1,0,0,0,0,0,0,1,0,40846082,NULL,NULL,0,3,Thriller,0,1,0,0,1,1,0,2,3,2,0,17011
25,0,en,7.434577,2006-09-09,87,Short,1,1,1,1,2006,9,9,1,1,1,1,0,0,0,3,0,0,1,NULL,NULL,NULL,0,2,Horror,3,1,0,1,1,1,0,1,1,1,0,4947717
26,0,en,1.252367,1992-10-23,95,Medium,1,0,1,1,1992,10,23,1,2,1,0,0,0,0,0,0,1,0,48878502,3790493,18564613,0,4,Horror,1,1,3,0,1,1,0,2,4,1,0,8403433
27,10000000,en,4.305734999999999,1997-09-08,110,Medium,1,0,1,1,1997,9,8,1,1,1,0,0,0,0,4,0,0,0,126297830,NULL,2154540,2,4,Drama,4,1,0,1,2,1,0,1,7,1,0,13835130
28,11000000,en,10.841891,2013-09-07,93,Short,1,0,1,1,2013,9,7,1,2,1,0,0,0,0,3,0,1,0,933959197,91354215,403170142,3,3,Drama,2,1,0,0,1,1,0,3,6,1,0,7847000
29,6000000,en,6.759181,1986-08-08,84,Short,1,0,1,1,1986,8,8,1,1,1,0,0,0,1,6,0,0,0,37803872,90614445,NULL,0,4,Animation,0,1,0,0,1,1,0,1,13,1,0,5849647
30,45000000,en,7.81862,2002-04-07,89,Short,1,0,1,1,2002,4,7,0,1,1,0,0,0,0,4,0,0,1,84431625,920100000,52322400,1,1,Adventure,1,1,0,0,1,1,0,2,1,1,0,94935764
31,13000000,fr,16.086919,2011-11-02,112,Medium,0,0,1,1,2011,11,2,0,1,1,1,0,0,0,7,0,0,1,23550000,NULL,151119219,0,8,Drama,6,5,2,3,3,2,1,3,5,4,0,426480871
32,0,fr,5.69586,2005-05-02,117,Medium,0,1,1,0,2005,5,2,0,5,0,1,0,0,0,15,0,1,1,NULL,152500343,NULL,0,15,Drama,2,1,0,1,1,2,0,1,9,1,0,36000000
33,90000000,en,13.412445000000002,2015-10-21,106,Medium,1,1,1,1,2015,10,21,1,1,1,0,0,0,0,4,0,1,0,1506249360,9318,1021103568,1,7,Adventure,7,11,7,13,4,10,0,4,7,8,21,146936910
34,0,en,8.254856,2014-10-02,125,Large,1,0,1,1,2014,10,2,1,5,1,1,0,0,1,4,0,0,0,NULL,81010,NULL,0,3,Horror,0,0,0,0,30,0,0,18,9,2,0,7171
35,140000000,en,9.718111,2007-08-08,91,Short,1,0,1,1,2007,8,8,1,1,1,1,0,0,1,1,0,0,0,347325802,347325802,8690429,3,1,Action,3,1,1,1,1,3,0,2,5,1,0,258022233
36,30000000,en,8.234382,2012-04-16,94,Medium,1,1,1,1,2012,4,16,0,1,1,0,1,0,0,1,0,0,0,274470394,44196684,41098065,1,5,Action,3,1,0,2,2,3,0,1,9,13,0,40346186
37,0,en,2.100499,2000-01-28,105,Medium,1,0,1,1,2000,1,28,0,3,1,0,0,0,0,14,1,1,0,NULL,NULL,NULL,0,3,Comedy,0,0,0,0,1,0,0,1,0,0,0,151559
38,50000000,en,13.676444,1995-03-10,127,Large,1,0,1,1,1995,3,10,0,1,1,1,0,0,0,8,0,1,0,106260000,176997168,390493908,3,4,Drama,1,1,0,0,1,3,0,2,4,1,0,189859560
39,0,en,0.32926,2013-09-13,90,Short,1,1,1,1,2013,9,13,1,0,1,0,0,1,1,0,0,0,0,NULL,NULL,NULL,0,NULL,Thriller,0,0,0,0,1,0,0,1,0,0,0,92100
40,3800000,en,3.055936,1965-04-07,123,Large,1,0,1,0,1965,4,7,0,1,1,1,0,1,0,5,0,0,0,146900000,28900000,NULL,0,2,Other,1,1,0,0,1,3,0,4,1,1,0,14873
41,0,en,2.941626,2006-04-26,118,Medium,1,1,1,1,2006,4,26,0,1,1,0,0,0,0,2,NULL,0,0,NULL,NULL,NULL,0,1,Action,0,0,0,0,1,0,0,0,0,0,0,163000
42,3000000,en,9.718713000000001,1967-06-22,126,Large,1,0,1,1,1967,6,22,0,1,1,0,0,0,0,12,0,0,0,12000000,60000000,NULL,0,2,Drama,2,3,4,4,2,1,2,3,2,5,0,16217773
43,25000000,en,2.9719990000000003,2000-03-03,108,Medium,1,0,1,1,2000,3,3,0,1,1,1,0,0,0,10,1,0,0,141047179,18535191,159055768,0,2,Comedy,3,1,0,1,1,1,0,1,4,0,0,24362772
44,6000000,en,9.383088,2014-09-05,92,Short,1,0,1,1,2014,9,5,1,1,1,0,0,0,0,5,0,1,1,1004558444,266728738,60000000,1,3,Drama,2,1,0,0,1,0,0,2,5,1,0,1020921
45,15000000,en,5.615303,2005-02-04,88,Short,1,1,1,1,2005,2,4,0,1,1,0,0,0,0,6,1,0,1,171963386,105834556,10571408,0,3,Comedy,2,0,0,1,1,1,0,1,4,2,0,47175038
46,3906840,it,2.382068,2009-10-09,95,Medium,0,0,1,1,2009,10,9,1,1,0,0,0,1,0,11,0,0,1,NULL,NULL,NULL,0,2,Drama,0,1,0,0,1,1,0,2,1,1,0,4300000
47,80000000,en,16.646029000000002,2006-03-23,91,Short,1,1,1,1,2006,3,23,0,1,1,0,0,0,0,11,0,0,0,383257136,383257136,383257136,1,2,Adventure,0,0,1,0,1,1,1,2,1,1,2,660940780
48,44000000,en,20.328822,2015-12-25,167,Large,1,1,1,1,2015,12,25,1,1,1,0,0,1,0,8,0,0,1,1519557910,1506249360,152368585,2,3,Drama,10,4,7,13,2,5,0,1,11,14,10,155760117
49,0,en,8.984386,2017-03-24,94,Medium,1,0,1,0,2017,3,24,0,1,1,0,0,0,0,8,0,0,0,653428261,NULL,NULL,0,1,Drama,4,1,4,6,2,1,0,2,4,7,0,653951
50,38000000,en,8.105708,1994-11-17,118,Medium,1,0,1,1,1994,11,17,0,1,1,0,0,0,0,5,0,0,0,35739755,NULL,16554699,0,1,Adventure,3,1,0,1,1,1,0,2,5,1,0,120000000
51,560000,nl,1.572904,2008-01-30,102,Medium,0,1,1,0,2008,1,30,0,1,0,0,0,0,0,10,1,0,0,NULL,NULL,NULL,0,NULL,Drama,0,0,0,0,1,0,0,1,0,0,0,1500000
52,12000000,en,4.473326999999999,1965-07-01,160,Large,1,0,1,1,1965,7,1,0,1,1,0,0,0,0,5,0,0,1,25000000,60000000,3200000,3,1,Adventure,0,1,0,0,1,1,0,1,1,1,0,25333333
53,0,en,1.012665,1980-06-24,97,Medium,1,0,1,1,1980,6,24,0,1,1,0,0,0,0,5,0,0,0,76657000,79666653,NULL,0,1,Adventure,0,0,0,0,1,0,0,4,2,0,0,11000000
54,0,en,5.410839,1988-01-15,98,Medium,1,1,1,1,1988,1,15,0,1,1,0,0,0,0,1,0,0,0,NULL,NULL,102308889,3,1,Drama,0,0,0,1,1,0,0,2,0,0,0,17514553
55,20000000,en,8.759801,2016-02-19,107,Medium,1,0,1,1,2016,2,19,0,1,1,0,0,0,0,12,NULL,0,0,NULL,933959197,266000000,2,4,Action,4,1,0,1,1,2,0,3,8,1,0,46069568
56,0,en,9.122717999999999,1993-07-02,95,Medium,1,0,1,1,1993,7,2,0,1,1,0,0,0,0,7,0,1,0,17514553,4104962,46434570,2,1,Drama,0,0,0,0,1,0,0,2,0,0,0,36448200
57,0,fr,2.94798,2009-08-05,97,Medium,0,1,1,0,2009,8,5,1,2,1,1,0,0,0,3,1,0,1,NULL,55447968,NULL,0,1,Drama,0,0,0,0,1,0,0,2,0,0,0,1056938
58,125000000,en,17.038823999999998,1997-06-20,125,Large,1,0,1,1,1997,6,20,0,2,1,0,0,0,0,9,0,0,0,25836616,134095253,261317921,4,2,Fantasy,16,8,26,9,2,4,6,3,13,12,6,238207122
59,0,en,1.8824459999999998,2008-06-24,95,Medium,1,1,1,0,2008,6,24,0,1,1,0,0,0,0,9,0,NULL,0,NULL,NULL,NULL,0,1,Other,0,0,0,0,1,0,0,0,0,0,0,119563
60,14000000,en,3.909079,2002-03-08,95,Medium,1,0,1,1,2002,3,8,0,1,1,1,0,0,0,20,0,0,0,108000000,9000000,210000000,0,1,Adventure,0,0,0,0,1,0,0,0,0,0,0,25482931
61,150000000,en,23.065078,2006-11-14,144,Large,1,1,1,1,2006,11,14,0,5,1,1,0,0,0,10,0,1,0,82150642,NULL,NULL,3,3,Adventure,17,13,17,8,10,6,4,4,23,17,7,599045960
62,4000000,en,1.8010709999999999,1956-05-30,105,Medium,1,0,1,1,1956,5,30,0,1,1,0,0,0,0,2,0,0,1,NULL,NULL,NULL,1,1,Drama,0,1,0,0,1,0,0,5,1,1,0,14400000
63,0,en,6.3816120000000005,1998-01-16,124,Large,1,0,1,1,1998,1,16,0,1,1,0,0,0,0,16,0,0,0,157387195,110879513,189859560,0,2,Fantasy,7,6,8,8,1,3,0,1,3,10,1,25232289
64,5000000,en,7.743144,1989-07-28,100,Medium,1,0,1,1,1989,7,28,0,1,1,0,0,0,0,10,0,1,0,12232628,NULL,NULL,0,3,Horror,0,1,0,0,1,1,0,1,2,1,0,14000000
65,12000000,en,11.160699000000001,2013-09-21,115,Medium,1,0,1,1,2013,9,21,1,1,1,0,0,1,0,11,1,0,0,91188905,72178895,6928068,2,2,Adventure,5,7,20,5,3,4,2,1,9,12,1,17654912
66,1500000,en,8.822275999999999,1988-02-26,92,Short,1,0,1,1,1988,2,26,0,1,1,0,0,0,0,6,0,0,0,22812411,NULL,333000000,0,1,Action,0,1,1,0,1,1,0,4,3,1,0,11806119
67,12000000,en,5.145185,2010-01-14,108,Medium,1,0,1,1,2010,1,14,0,1,1,0,0,0,0,2,0,1,0,266728738,163670000,245066411,0,2,Comedy,2,1,0,1,1,1,0,4,2,0,0,204940
68,0,zh,6.303552,2013-10-04,133,Large,0,0,1,0,2013,10,4,1,3,0,0,0,0,0,5,0,0,1,1332231,34786960,NULL,0,3,Drama,0,1,0,0,1,0,0,1,2,0,0,154120
69,2000000,en,14.284787,1962-12-25,129,Large,1,0,1,0,1962,12,25,1,1,1,0,0,0,0,17,0,0,0,28900000,NULL,NULL,0,1,Drama,4,2,0,6,4,2,0,3,8,5,0,13129846
70,85000000,en,2.238808,2006-06-03,104,Medium,1,1,1,1,2006,6,3,0,2,1,0,0,0,1,9,0,1,0,173013509,NULL,NULL,0,1,Drama,3,7,4,5,3,5,2,1,10,14,3,158468292
71,29000000,en,12.092096000000002,2005-03-04,103,Medium,1,0,1,1,2005,3,4,0,2,1,0,0,0,0,18,0,1,0,NULL,655011224,161626121,0,7,Fantasy,0,1,0,1,1,1,0,2,13,1,0,21126225
72,0,es,7.667491,2004-02-06,126,Large,0,1,1,1,2004,2,6,0,8,0,0,0,1,0,13,0,0,1,20908467,NULL,NULL,1,8,Drama,1,1,0,2,1,1,0,1,3,1,0,16756372
73,11000000,en,8.290384,1990-04-05,85,Short,1,0,1,1,1990,4,5,0,1,1,0,0,0,0,7,0,1,1,331816,NULL,NULL,1,2,Comedy,0,1,0,0,1,1,0,1,2,1,0,8266343
74,0,cs,0.9195559999999999,2004-03-30,90,Short,0,1,1,0,2004,3,30,0,1,0,0,0,0,0,5,0,0,0,NULL,NULL,NULL,0,NULL,Doco,0,0,0,0,2,0,0,0,3,0,0,17393
75,445000,en,2.482536,1976-03-31,84,Short,1,0,1,1,1976,3,31,0,1,1,0,0,0,0,15,1,0,0,NULL,136400000,7500000,0,1,Drama,1,1,0,3,1,1,0,1,3,1,0,2300000
76,17000000,en,9.665251,2011-08-18,106,Medium,1,1,1,1,2011,8,18,1,2,1,0,0,0,0,5,0,0,1,105178561,358372926,129000000,1,1,Horror,0,0,1,0,1,0,1,1,6,0,0,24922237
77,500000,ta,0.660663,2000-05-05,157,Large,0,0,1,0,2000,5,5,0,1,1,0,0,0,0,0,0,0,1,500000,NULL,NULL,0,NULL,Drama,0,0,1,0,1,1,0,2,1,1,0,500000
78,6000000,en,10.451986,1980-07-25,98,Medium,1,0,1,1,1980,7,25,0,1,1,0,0,0,0,5,0,0,0,NULL,NULL,NULL,0,2,Comedy,0,1,0,0,1,1,0,3,2,1,0,39846344
79,0,en,2.6333990000000003,1981-12-18,122,Large,1,0,1,1,1981,12,18,1,1,1,0,0,0,0,13,0,1,0,126737428,NULL,7100000,0,2,Drama,2,1,0,1,1,2,0,2,3,1,0,35610100
80,1500000,en,6.636625,2016-09-15,102,Medium,1,1,1,1,2016,9,15,1,2,1,0,0,1,0,13,1,1,0,16829545,17336370,157107755,1,5,Horror,6,5,5,10,2,6,0,1,31,10,4,779820
81,15000000,en,4.9840800000000005,2002-12-14,118,Medium,1,0,1,1,2002,12,14,1,3,1,0,0,0,0,13,0,0,1,152368585,NULL,NULL,3,6,Drama,4,1,0,1,1,2,0,2,8,3,0,9237470
82,10284523,en,4.3490459999999995,2005-10-21,104,Medium,1,0,1,0,2005,10,21,1,1,1,0,0,0,0,1,0,1,0,218613188,435000000,17096053,0,4,Drama,2,1,0,0,1,1,0,1,5,1,0,11588205
83,43000000,en,10.947957,2005-07-29,104,Medium,1,0,1,1,2005,7,29,0,2,1,0,0,0,0,16,1,1,0,151559,50892160,18591272,1,6,Drama,16,8,19,8,3,4,6,2,15,12,6,91974818
84,28000000,en,7.482864999999999,1984-12-06,116,Medium,1,0,1,1,1984,12,6,1,1,1,0,1,0,0,8,0,0,1,470654000,12000000,34967437,1,1,Thriller,5,3,3,3,1,2,1,2,3,8,1,40400657
85,2000000,en,10.239941,2011-01-21,85,Short,1,0,1,1,2011,1,21,0,2,1,0,0,0,0,9,1,0,0,NULL,NULL,NULL,0,2,Horror,0,0,0,0,2,0,0,2,2,1,0,13101672
86,50000000,en,7.260574,1995-06-09,109,Medium,1,0,1,1,1995,6,9,0,1,1,1,0,0,0,4,1,0,0,7286388,3960327,215394738,1,2,Adventure,0,1,0,0,1,1,0,2,3,1,0,152022101
87,8000000,en,9.741644,1979-12-18,105,Medium,1,0,1,1,1979,12,18,1,1,1,0,0,0,0,12,0,1,1,70600000,50000000,70600000,0,1,Drama,3,2,3,5,5,3,2,2,5,3,0,106260000
88,7500000,cn,12.314278,1995-01-30,91,Short,0,0,1,1,1995,1,30,0,1,1,0,0,0,0,10,0,0,1,72179579,NULL,NULL,0,2,Action,0,0,0,0,1,0,0,2,1,0,0,32392047
89,20000000,en,13.655178,2017-03-31,126,Large,1,1,1,1,2017,3,31,0,3,1,0,0,0,0,7,1,0,0,630161890,5475058,36606743,0,3,Drama,1,1,0,1,1,1,0,2,13,1,0,13162475
90,0,en,4.359884,1993-02-05,109,Medium,1,0,1,1,1993,2,5,0,2,1,0,0,0,0,22,1,0,0,NULL,129795554,71624879,0,3,Drama,3,1,0,2,2,1,0,3,7,1,0,140081992
91,30000000,en,25.261865,2003-10-10,111,Medium,1,1,1,1,2003,10,10,1,1,1,1,0,0,1,15,1,1,1,238207122,161626121,238207122,1,3,Action,27,8,29,15,4,7,6,3,24,21,17,180949000
92,0,it,3.83196,2001-03-16,106,Medium,0,0,1,0,2001,3,16,0,1,0,0,0,0,0,3,1,0,0,NULL,NULL,NULL,0,2,Drama,0,0,0,0,1,0,0,2,0,0,0,215339
93,35000000,en,1.690768,1995-09-20,135,Large,1,0,1,0,1995,9,20,1,1,0,1,0,0,0,5,1,0,0,10006806,NULL,NULL,0,3,Adventure,0,1,0,0,1,1,0,4,1,1,0,15000000
94,0,en,14.322814000000001,2008-05-15,96,Medium,1,0,1,1,2008,5,15,0,1,1,0,0,0,0,5,0,0,1,NULL,NULL,NULL,0,1,Drama,0,1,0,0,1,1,0,2,0,0,0,2724474
95,15000000,en,18.184055999999998,2001-05-16,147,Large,1,0,1,1,2001,5,16,0,2,1,0,0,1,0,16,1,1,1,163169,6841570,NULL,1,5,Drama,3,2,0,1,1,1,0,1,6,2,0,20117339
96,0,ru,0.181963,2012-12-09,72,Short,0,0,1,0,2012,12,9,1,1,0,0,1,0,0,0,0,0,0,38862717,NULL,NULL,0,1,Drama,0,0,0,0,1,0,0,2,0,0,0,14353
97,2500000,fr,2.942355,2011-11-14,98,Medium,0,0,1,0,2011,11,14,0,1,0,1,0,0,0,0,0,0,0,NULL,NULL,20374201,0,6,Action,1,1,0,1,1,1,0,4,0,1,0,3358
98,0,ru,1.0421120000000001,2011-06-26,158,Large,0,0,1,0,2011,6,26,0,1,0,0,1,0,0,0,0,1,0,5873871,33000337,NULL,0,1,Fantasy,2,1,0,0,1,2,0,2,1,1,0,73000
99,10500000,es,11.003515,2012-08-31,90,Short,0,0,1,1,2012,8,31,1,1,1,0,0,1,0,13,1,0,0,102984862,NULL,875386,0,1,Adventure,0,0,0,0,1,0,0,6,8,0,0,23000000
100,6000000,en,5.529808,1988-04-15,120,Large,1,0,1,1,1988,4,15,0,1,1,0,0,1,0,10,0,0,1,35856053,245066411,6029824,0,1,Drama,1,1,0,0,1,1,0,1,2,1,0,46616067
101,7000000,en,7.958502,1990-01-26,91,Short,1,0,1,1,1990,1,26,0,1,1,0,0,0,0,8,0,0,1,152427960,NULL,30857814,1,4,Horror,5,1,7,6,2,4,0,2,9,10,1,9229401
102,60000000,en,11.93646,2001-12-11,135,Large,1,1,1,1,2001,12,11,1,1,1,0,0,0,0,14,0,1,0,60289912,38290723,60289912,6,3,Drama,7,4,8,6,2,5,2,3,11,10,2,313542341
103,0,ko,1.066558,2007-08-18,102,Medium,0,0,1,0,2007,8,18,1,1,0,0,0,0,0,0,NULL,1,0,NULL,NULL,33579813,0,3,Action,0,0,1,0,1,0,0,2,1,0,0,14961069
104,0,en,2.401289,2012-09-28,121,Large,1,0,1,1,2012,9,28,1,1,1,0,0,0,0,1,1,1,0,207515725,1004558444,694713380,0,3,Drama,3,1,0,1,1,1,0,1,2,1,0,5310554
105,0,tr,1.590383,2014-02-20,117,Medium,0,0,1,0,2014,2,20,0,1,0,0,0,0,0,0,NULL,0,0,NULL,5330000,NULL,1,4,Comedy,1,1,0,2,2,0,0,1,1,3,0,149521495
106,10900000,en,13.454169,2013-09-08,105,Medium,1,0,1,1,2013,9,8,1,1,1,0,0,0,0,8,1,0,1,36160375,694713380,97838349,0,5,Drama,6,3,4,4,2,3,1,1,7,7,2,16505460
107,31000000,en,6.523155,2010-01-21,105,Medium,1,1,1,1,2010,1,21,0,1,1,0,0,0,0,0,0,0,1,786636033,98410061,114660784,0,2,Drama,3,1,0,2,2,1,0,1,4,1,1,15134293
108,72000000,en,20.755149,1995-05-24,177,Large,1,0,1,1,1995,5,24,0,1,1,1,0,0,0,8,0,0,1,120207127,NULL,NULL,1,3,Drama,13,4,9,7,1,3,3,2,12,11,2,210000000
109,14000000,en,3.873796,1999-04-15,97,Medium,1,0,1,1,1999,4,15,0,2,1,0,0,0,0,0,1,1,0,82150642,352194034,11300653,0,2,Drama,0,0,0,0,1,0,0,2,0,0,0,18535191
110,15000000,en,3.210693,1966-10-10,189,Large,1,0,1,1,1966,10,10,1,1,1,0,0,0,0,2,1,0,0,102272727,NULL,28900000,0,1,Adventure,2,1,0,0,1,1,0,3,4,1,0,34562222
111,75000000,en,13.136791,2001-10-12,123,Large,1,0,1,1,2001,10,12,1,1,1,0,0,0,0,1,0,0,1,296000000,56505065,82150642,2,7,Action,14,11,22,8,3,4,4,2,20,15,1,67631903
112,35000000,en,5.093704,2004-08-06,111,Medium,1,0,1,1,2004,8,6,1,1,1,0,0,0,0,1,1,1,1,100020092,116700000,105834556,0,2,Drama,3,1,0,11,2,1,0,1,5,1,0,22034832
113,100000000,en,11.696923,2015-11-20,122,Large,1,1,1,1,2015,11,20,0,1,1,0,0,0,0,22,0,0,0,1519557910,NULL,1004558444,9,8,Adventure,13,7,12,12,3,7,5,5,8,13,25,93820758
114,20000000,en,4.619593,1988-03-25,106,Medium,1,0,1,1,1988,3,25,0,1,1,0,0,0,0,3,0,0,0,70136369,152427960,NULL,0,2,Drama,1,1,0,1,1,1,0,2,5,1,0,51684798
115,93000000,en,32.070725,2001-12-18,178,Large,1,1,1,1,2001,12,18,1,2,1,0,0,0,0,16,0,0,1,332000000,137298489,82150642,1,3,Adventure,7,1,0,2,1,1,0,4,12,1,1,871368364
116,25000000,en,5.00725,2002-05-31,86,Short,1,0,1,1,2002,5,31,0,1,1,0,0,0,0,7,0,0,1,102244770,40846082,361832400,0,1,Action,0,1,0,0,1,2,0,2,6,1,0,41604473
117,0,zh,1.6780130000000002,2012-11-01,145,Large,0,0,1,0,2012,11,1,0,1,1,0,0,0,1,2,0,0,1,550000000,356830601,NULL,1,12,Drama,0,2,1,2,1,0,0,2,8,1,1,311
118,0,en,11.356011,2007-03-02,100,Medium,1,1,1,1,2007,3,2,0,1,1,0,0,0,0,9,0,0,0,461983149,296000000,141407024,0,2,Adventure,0,1,0,0,1,2,0,1,5,2,0,253625427
119,0,en,4.304224,1993-06-18,107,Medium,1,0,1,1,1993,6,18,0,1,1,0,0,0,0,11,0,1,0,53208180,9500000,183316455,0,1,Drama,2,2,0,0,1,1,0,2,7,1,0,1796389
120,12716953,cn,6.183021,1997-01-31,113,Medium,0,0,1,1,1997,1,31,0,2,1,0,0,0,0,4,0,0,0,72179579,NULL,NULL,0,1,Action,0,1,0,0,1,1,0,2,2,3,0,18814720
121,90000000,en,8.345985,2001-08-03,90,Short,1,0,1,1,2001,8,3,1,1,1,0,0,0,0,1,0,0,1,263920180,244386864,NULL,1,1,Action,1,1,0,0,1,2,0,2,2,1,0,347325802
